>>>>>>>>>> Start item : ../data/Leeds.mp4
::: Run time Settings : {'Config load': 1, 'Config update': {'General': 1, 'Visualizer': 1, 'Figure': 1, 'Heatmap': 1, 'System': 1, 'Calibration': 0, 'Detector': 1}, 'Config save': 1}
:::::: Start File Checking ...
:: Loading Data and Configrations ...
: Background Found.
: Satellite Map Found.
: Visual Map Found.
: Road Mask Found.
: Road Boarder Found.
::: Camera size : (1920, 1080), Region of Interest : (1920, 1080),  Environment size :(1028, 1048)

 <<< Model is running on CUDA GPU >>> 

::: Configration Saved.
type: car vehicle id: 27 position: 790 220
type: person vehicle id: 26 position: 696 859
type: person vehicle id: 25 position: 386 322
type: person vehicle id: 24 position: 571 522
type: person vehicle id: 23 position: 292 303
type: person vehicle id: 22 position: 336 333
type: person vehicle id: 20 position: 1368 294
type: person vehicle id: 19 position: 123 516
type: car vehicle id: 18 position: 32 121
type: car vehicle id: 17 position: 1856 330
type: person vehicle id: 16 position: 151 464
type: car vehicle id: 15 position: 461 22
type: person vehicle id: 14 position: 1276 278
type: person vehicle id: 11 position: 1490 357
type: person vehicle id: 10 position: 174 244
type: person vehicle id: 9 position: 1440 337
type: person vehicle id: 8 position: 872 96
type: person vehicle id: 7 position: 426 236
type: person vehicle id: 6 position: 374 170
type: person vehicle id: 5 position: 1443 318
type: person vehicle id: 42 position: 365 330
type: car vehicle id: 39 position: 1402 185
type: car vehicle id: 38 position: 791 129
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 734 883
type: person vehicle id: 35 position: 530 549
type: person vehicle id: 34 position: 521 408
type: car vehicle id: 33 position: 936 179
type: car vehicle id: 32 position: 591 12
type: car vehicle id: 31 position: 572 82
type: person vehicle id: 30 position: 688 507
type: car vehicle id: 29 position: 687 65
type: person vehicle id: 28 position: 423 313
type: car vehicle id: 27 position: 789 221
type: person vehicle id: 26 position: 696 859
type: person vehicle id: 25 position: 386 321
type: person vehicle id: 24 position: 574 522
type: person vehicle id: 23 position: 291 303
type: person vehicle id: 22 position: 336 333
type: person vehicle id: 20 position: 1368 294
type: person vehicle id: 19 position: 123 515
type: car vehicle id: 18 position: 32 121
type: car vehicle id: 17 position: 1856 329
type: person vehicle id: 16 position: 152 464
type: car vehicle id: 15 position: 460 22
type: person vehicle id: 14 position: 1277 278
type: person vehicle id: 11 position: 1490 357
type: person vehicle id: 10 position: 174 244
type: person vehicle id: 9 position: 1440 337
type: person vehicle id: 8 position: 872 96
type: person vehicle id: 7 position: 426 235
type: person vehicle id: 6 position: 374 170
type: person vehicle id: 5 position: 1443 318
type: person vehicle id: 45 position: 1864 471
type: truck vehicle id: 43 position: 1841 614
type: person vehicle id: 42 position: 363 329
type: car vehicle id: 39 position: 1402 186
